company_name,opportunity_title,function,seniority,year,outcome,notes,closed_date,company_stage_at_placement,geo,candidate_name,opportunity_owner,service_type
Banyan Software,"Banyan Software - Portfolio Product Partner, North America",Product Management,Other,2026,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Joe Procopio; owner=Adam Charlson; service=Retained,2026-06-26T00:00:00,PE-Backed,Bay Area,Joe Procopio,Adam Charlson,Retained
BILL,Bill.com - SVP Product,Product Management,VP,2018,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Bora Chung; owner=Iain Grant; service=Retained,2018-11-01T00:00:00,Series E+,Bay Area,Bora Chung,Iain Grant,Retained
BILL,Bill.com - Application Security Architect,Information Security,Architect,2019,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Sriram Dandapani; owner=Dante Carpinito; service=Retained,2019-04-29T00:00:00,Series E+,Bay Area,Sriram Dandapani,Dante Carpinito,Retained
BILL,Bill.com - Data Scientist/Director Data Science,Data/ML/AI,Director,2019,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Eitan Anzenberg; owner=Dante Carpinito; service=Retained,2019-06-24T00:00:00,Series E+,Bay Area,Eitan Anzenberg,Dante Carpinito,Retained
BILL,Bill.com - VP of UX,Design/UX,VP,2019,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Venugopal Murthi; owner=Dante Carpinito; service=Retained,2019-07-01T00:00:00,Series E+,Bay Area,Venugopal Murthi,Dante Carpinito,Retained
BILL,Bill.com - CISO,Information Security,CXO,2019,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Hemant Raju; owner=Dante Carpinito; service=Retained,2019-07-08T00:00:00,Series E+,Bay Area,Hemant Raju,Dante Carpinito,Retained
BILL,Bill.com - Distinguished Engineer,Engineering,IC,2020,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Everett Quebral; owner=Jim Campbell; service=Retained,2020-09-30T00:00:00,Public,Bay Area,Everett Quebral,Jim Campbell,Retained
BILL,Bill.com - VP Tech Ops and Infrastructure,DevOps,VP,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Jason Temple; owner=Dante Carpinito; service=Retained,2021-04-12T00:00:00,Public,Bay Area,Jason Temple,Dante Carpinito,Retained
BILL,Bill.com - VP Tech Ops and Infrastructure,DevOps,VP,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=TJ Sanghvi; owner=Dante Carpinito; service=Retained,2021-04-12T00:00:00,Public,Bay Area,TJ Sanghvi,Dante Carpinito,Retained
BILL,Bill.com - VP and Chief Architect,Engineering,VP,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Alexander Yavorskiy; owner=Dante Carpinito; service=Retained,2021-05-26T00:00:00,Public,Bay Area,Alexander Yavorskiy,Dante Carpinito,Retained
BILL,Bill.com - CPO,Product Management,CXO,2022,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Irana Wasti; owner=Iain Grant; service=Retained,2022-07-29T00:00:00,Public,Bay Area,Irana Wasti,Iain Grant,Retained
Bond (fractional aviation solution),Bond - VP of Program Management,Project Management,VP,2026,Placement,stage_at_placement=PE-Backed; geo=Florida; candidate=Samuel Hazell; owner=Amie Ernst; service=Retained,2026-04-06T00:00:00,PE-Backed,Florida,Samuel Hazell,Amie Ernst,Retained
Bond (fractional aviation solution),Bond - VP of Program Management,Project Management,VP,2026,Placement,stage_at_placement=PE-Backed; geo=Florida; candidate=Aarthy Chandrasekaran; owner=Amie Ernst; service=Retained,2026-04-06T00:00:00,PE-Backed,Florida,Aarthy Chandrasekaran,Amie Ernst,Retained
Bond (fractional aviation solution),Bond-  VP of Product Management,Product Management,VP,2026,Placement,stage_at_placement=PE-Backed; geo=Florida; candidate=Joe Rhie; owner=Amie Ernst; service=Retained,2026-05-05T00:00:00,PE-Backed,Florida,Joe Rhie,Amie Ernst,Retained
BrightDrop,BrightDrop - CTO,Engineering,CXO,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Anthony Armenta; owner=Kyle Langworthy; service=Retained,2021-06-07T00:00:00,Public,Bay Area,Anthony Armenta,Kyle Langworthy,Retained
BrightDrop,BrightDrop - Chief Product Officer 2021,Product Management,CXO,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Rachad Youssef; owner=Kate McGoldrick; service=Retained,2021-06-21T00:00:00,Public,Bay Area,Rachad Youssef,Kate McGoldrick,Retained
BrightDrop,BrightDrop - VP of Software Engineering,Engineering,VP,2023,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Lili Kan; owner=Lucas Dunne; service=Retained,2023-02-16T00:00:00,Public,Bay Area,Lili Kan,Lucas Dunne,Retained
BrightDrop,BrightDrop - Chief Product Officer,Product Management,CXO,2023,Placement,stage_at_placement=Public; candidate=Akash Varshney; owner=Iain Grant; service=Retained,2023-06-23T00:00:00,Public,,Akash Varshney,Iain Grant,Retained
Bumble,Bumble - Head of Product,Product Management,Head,2021,Placement,stage_at_placement=Public; geo=Europe; candidate=Vivienne Sung; owner=Glenn Murphy; service=Retained,2021-04-19T00:00:00,Public,Europe,Vivienne Sung,Glenn Murphy,Retained
Bumble,Bumble - Product Lead (as Director of Product),Product Management,Director,2021,Placement,stage_at_placement=Public; geo=Austin; candidate=Effie Wang; owner=Glenn Murphy; service=Retained,2021-09-28T00:00:00,Public,Austin,Effie Wang,Glenn Murphy,Retained
Bumble,Bumble - Director of Monetization,Product Management,Director,2021,Placement,stage_at_placement=Public; geo=Europe; candidate=Steve Moy; owner=Glenn Murphy; service=Bluebird,2021-10-12T00:00:00,Public,Europe,Steve Moy,Glenn Murphy,Bluebird
Bumble,"Bumble - Director, Badoo Date",Product Management,Director,2021,Placement,stage_at_placement=Public; geo=Europe; candidate=Mehmet Ali Guneri; owner=Glenn Murphy; service=Bluebird,2021-10-12T00:00:00,Public,Europe,Mehmet Ali Guneri,Glenn Murphy,Bluebird
Capital One,Capital One - VP Design,Design/UX,VP,2013,Placement,stage_at_placement=Public; candidate=Marianna Wickman; owner=Dirk Cleveland; service=Retained,2013-10-29T00:00:00,Public,,Marianna Wickman,Dirk Cleveland,Retained
Capital One,Capital One - #1 Data Eng,Engineering,Other,2014,Placement,geo=Bay Area; candidate=Dongming Liang; owner=Rivi HQ; service=Team Svcs Placement,2014-12-11T00:00:00,,Bay Area,Dongming Liang,Rivi HQ,Team Svcs Placement
Capital One,"Capital One - VP Technology, Card Partnerships",Engineering,VP,2016,Placement,stage_at_placement=Public; geo=Chicago; candidate=Sairam Rangachari; owner=Eric Larson; service=Retained,2016-03-31T00:00:00,Public,Chicago,Sairam Rangachari,Eric Larson,Retained
Capital One,Capital One - SVP Innovation Lab,Product Management,VP,2016,Placement,stage_at_placement=Public; candidate=Karen Stroup; owner=Eric Larson; service=Retained,2016-06-28T00:00:00,Public,,Karen Stroup,Eric Larson,Retained
Cast & Crew Entertainment Services,Cast & Crew - CTO,Engineering,CXO,2016,Placement,stage_at_placement=PE-Backed; geo=SoCal; candidate=Alex Godelman; owner=Eric Larson; service=Retained,2016-01-13T00:00:00,PE-Backed,SoCal,Alex Godelman,Eric Larson,Retained
Cast & Crew Entertainment Services,Cast & Crew - VP/Senior Director of Engineering (as VP Software Engineering),Engineering,Director,2017,Placement,stage_at_placement=PE-Backed; geo=SoCal; candidate=John Cullens; owner=Eric Larson; service=Retained,2017-02-11T00:00:00,PE-Backed,SoCal,John Cullens,Eric Larson,Retained
Cast & Crew Entertainment Services,Cast & Crew - Engineering Manager (as Sr. Engineering Manager),Engineering,IC,2017,Placement,stage_at_placement=PE-Backed; geo=SoCal; candidate=Charly Lin; owner=Gino Morell; service=Retained,2017-03-24T00:00:00,PE-Backed,SoCal,Charly Lin,Gino Morell,Retained
Cast & Crew Entertainment Services,"Cast & Crew - Manager, Software Engineering",Engineering,IC,2017,Placement,stage_at_placement=PE-Backed; geo=SoCal; candidate=Nova McLaren; owner=Eric Larson; service=Bluebird,2017-04-12T00:00:00,PE-Backed,SoCal,Nova McLaren,Eric Larson,Bluebird
Cast & Crew Entertainment Services,Cast & Crew Entertainment Services - AI Board Director,Board Member,Board,2025,Placement,stage_at_placement=PE-Backed; geo=New York; candidate=Vasi Philomin; owner=Megan Sleeper; service=Retained,2025-05-05T00:00:00,PE-Backed,New York,Vasi Philomin,Megan Sleeper,Retained
CCC Information Services,CCC - Confidential Retained Search,Product Management,CXO,2021,Placement,stage_at_placement=PE-Backed; geo=Chicago; candidate=Shivani Govil; owner=Eric Larson; service=Retained,2021-02-04T00:00:00,PE-Backed,Chicago,Shivani Govil,Eric Larson,Retained
CCC Information Services,"CCC - VP Product Management, Insurance Vertical",Product Management,VP,2022,Placement,stage_at_placement=Public; geo=Chicago; candidate=Jeff Wargin; owner=Steve Kasmouski; service=Retained,2022-01-14T00:00:00,Public,Chicago,Jeff Wargin,Steve Kasmouski,Retained
CCC Information Services,CCC - Director of Product Management,Product Management,Director,2022,Placement,stage_at_placement=Public; geo=Chicago; candidate=Douglas Wing; owner=Steve Kasmouski; service=Bluebird,2022-05-26T00:00:00,Public,Chicago,Douglas Wing,Steve Kasmouski,Bluebird
Credit Acceptance,Credit Acceptance - CTO,Engineering,CXO,2022,Placement,stage_at_placement=Public; candidate=Ravi Mohan; owner=Chris Rice; service=Retained,2022-09-12T00:00:00,Public,,Ravi Mohan,Chris Rice,Retained
Credit Acceptance,Credit Acceptance - CISO,Information Security,CXO,2024,Placement,stage_at_placement=Public; geo=Michigan; candidate=Tim Marsden; owner=Tina Gaines; service=Retained,2024-02-21T00:00:00,Public,Michigan,Tim Marsden,Tina Gaines,Retained
Credit Acceptance,Credit Acceptance - Head of AI,Data/ML/AI,Head,2024,Placement,stage_at_placement=Public; geo=Michigan; candidate=Gaurav Saxena; owner=Mike Callagy; service=Retained,2024-02-29T00:00:00,Public,Michigan,Gaurav Saxena,Mike Callagy,Retained
Credit Acceptance,"Credit Acceptance - VP, Consumer Engineering",Engineering,VP,2025,Placement,stage_at_placement=Public; geo=Michigan; candidate=Mahi Sethuraman; owner=Gino Morell; service=Retained,2025-01-24T00:00:00,Public,Michigan,Mahi Sethuraman,Gino Morell,Retained
Credit Acceptance,"Credit Acceptance - Head of Engineering Operations, Chief of Staff",Project Management,CXO,2025,Placement,stage_at_placement=Public; geo=Michigan; candidate=Nivedita Bhasin; owner=Gino Morell; service=Retained,2025-07-30T00:00:00,Public,Michigan,Nivedita Bhasin,Gino Morell,Retained
Credit Acceptance,"Credit Acceptance - Director, Consumer Experience",Engineering,Director,2025,Placement,stage_at_placement=Public; geo=Other East Coast; candidate=Anurag Rohatgi; owner=Gino Morell; service=Retained,2025-12-29T00:00:00,Public,Other East Coast,Anurag Rohatgi,Gino Morell,Retained
Credit Acceptance,"Credit Acceptance - Director, Consumer Experience",Engineering,Director,2025,Placement,stage_at_placement=Public; geo=Other East Coast; candidate=Sridhar Muttumu; owner=Gino Morell; service=Retained,2025-12-29T00:00:00,Public,Other East Coast,Sridhar Muttumu,Gino Morell,Retained
Cruise,Cruise - VP Engineering,Engineering,VP,2016,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Sasha Ostojic; owner=Ali Behnam; service=Retained,2016-10-04T00:00:00,Public,Bay Area,Sasha Ostojic,Ali Behnam,Retained
Cruise,Cruise - Backend Engineer,Engineering,IC,2019,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Joe Templeman; owner=Rivi HQ; service=Contingency,2019-02-26T00:00:00,Public,Bay Area,Joe Templeman,Rivi HQ,Contingency
Cruise,Cruise - Head of Robotics (as VP Robotics),Hardware Engineering,Head,2019,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Rashed Haq; owner=James Miller; service=Retained,2019-11-18T00:00:00,Public,Bay Area,Rashed Haq,James Miller,Retained
Cruise,"Cruise - Staff Engineer, AV Robotics",Engineering,IC,2019,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Shad Laws; owner=James Miller; service=Bluebird,2019-12-16T00:00:00,Public,Bay Area,Shad Laws,James Miller,Bluebird
Cruise,Cruise - Director of Perception,Data/ML/AI,Director,2020,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Cristina Scheau; owner=Kyle Langworthy; service=Retained,2020-01-14T00:00:00,Public,Bay Area,Cristina Scheau,Kyle Langworthy,Retained
Cruise,"Cruise - Principal Engineer, Data",Engineering,IC,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Hossein Attar; owner=Kyle Langworthy; service=Retained,2021-01-15T00:00:00,Public,Bay Area,Hossein Attar,Kyle Langworthy,Retained
Datadog,"Datadog - VP, Infrastructure & SRE",Engineering,VP,2020,Placement,stage_at_placement=Public; geo=New York; candidate=Johan Andersen; owner=Jonathan Peters; service=Retained,2020-07-07T00:00:00,Public,New York,Johan Andersen,Jonathan Peters,Retained
Datadog,"Datadog - VP, Engineering (Data Platforms)",Engineering,VP,2021,Placement,stage_at_placement=Public; geo=New York; candidate=Ivo Dimitrov; owner=Jonathan Peters; service=Retained,2021-05-04T00:00:00,Public,New York,Ivo Dimitrov,Jonathan Peters,Retained
Datadog,"Datadog - Senior Director, Metrics Platform",Engineering,Director,2021,Placement,stage_at_placement=Public; geo=New York; candidate=Kumar Pasumarthy; owner=Jonathan Peters; service=Bluebird,2021-11-16T00:00:00,Public,New York,Kumar Pasumarthy,Jonathan Peters,Bluebird
Datadog,Datadog - Engineering Manager,Engineering,IC,2022,Placement,stage_at_placement=Public; geo=New York; candidate=Simon Boudrias; owner=Jonathan Peters; service=Retained,2022-01-28T00:00:00,Public,New York,Simon Boudrias,Jonathan Peters,Retained
Datadog,"Datadog - Engineering Manager, Metrics (as Engineer Director)",Engineering,Director,2022,Placement,stage_at_placement=Public; geo=New York; candidate=Ram Kaul; owner=Eddie Lee; service=Retained,2022-02-11T00:00:00,Public,New York,Ram Kaul,Eddie Lee,Retained
Datadog,Datadog - Engineering Director,Engineering,Director,2022,Placement,stage_at_placement=Public; geo=New York; candidate=Can Gencer; owner=Jonathan Peters; service=Bluebird,2022-02-25T00:00:00,Public,New York,Can Gencer,Jonathan Peters,Bluebird
Datadog,"Datadog - Senior Director Events Platform (as Senior Director of Engineering, Event Platform)",Engineering,Director,2022,Placement,stage_at_placement=Public; geo=New York; candidate=Ryan Betts; owner=Jonathan Peters; service=Retained,2022-04-12T00:00:00,Public,New York,Ryan Betts,Jonathan Peters,Retained
Datadog,Datadog - VP of IT,Information Technology,VP,2026,Placement,stage_at_placement=Public; geo=New York; candidate=Sean Joerg; owner=Sean Cleary; service=Retained,2026-06-15T00:00:00,Public,New York,Sean Joerg,Sean Cleary,Retained
Datto,Datto - CPO,Product Management,CXO,2020,Placement,stage_at_placement=Series B; geo=New York; candidate=Radhesh Menon; owner=Eric Larson; service=Retained,2020-05-21T00:00:00,Series B,New York,Radhesh Menon,Eric Larson,Retained
Datto,Datto - VP Infrastructure Engineering,Engineering,VP,2021,Placement,stage_at_placement=Public; geo=Other East Coast; candidate=Keith Bray; owner=Eric Larson; service=Retained,2021-03-05T00:00:00,Public,Other East Coast,Keith Bray,Eric Larson,Retained
Datto,"Datto - Chief Digital Officer (as SVP, Engineering - Digital Experience and Platforms)",Engineering,VP,2021,Placement,stage_at_placement=Public; geo=New York; candidate=Ravi Mohan; owner=Eric Larson; service=Retained,2021-08-26T00:00:00,Public,New York,Ravi Mohan,Eric Larson,Retained
Datto,"Datto - SVP of Digital Partner Experience, Chief Digital Officer",Engineering,CXO,2022,Placement,stage_at_placement=PE-Backed; geo=New York; candidate=Carlson Choi; owner=Eric Larson; service=Bluebird,2022-11-09T00:00:00,PE-Backed,New York,Carlson Choi,Eric Larson,Bluebird
"Diligent (Software Development, IP Portco)","Diligent - VP Product, Boards",Product Management,VP,2023,Placement,stage_at_placement=PE-Backed; geo=New York; candidate=Yu-Kuan Lin; owner=Eddie Lee; service=Retained,2023-11-17T00:00:00,PE-Backed,New York,Yu-Kuan Lin,Eddie Lee,Retained
"Diligent (Software Development, IP Portco)","Diligent - VP, Product Design",Design/UX,VP,2024,Placement,stage_at_placement=PE-Backed; geo=New York; candidate=Marcus Skala; owner=Eddie Lee; service=Retained,2024-03-14T00:00:00,PE-Backed,New York,Marcus Skala,Eddie Lee,Retained
"Diligent (Software Development, IP Portco)","Diligent - VP, Product Design",Design/UX,VP,2024,Placement,stage_at_placement=PE-Backed; geo=New York; candidate=Chris Avore; owner=Eddie Lee; service=Retained,2024-03-14T00:00:00,PE-Backed,New York,Chris Avore,Eddie Lee,Retained
DoorDash,DoorDash - Dir Eng (Hired VP),Engineering,Director,2015,Placement,stage_at_placement=Series B; geo=Bay Area; candidate=Ding Zhou; owner=George Kaszacs; service=Retained,2015-06-16T00:00:00,Series B,Bay Area,Ding Zhou,George Kaszacs,Retained
DoorDash,DoorDash - VP Engineering,Engineering,VP,2017,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Amritansh Raghav; owner=Ali Behnam; service=Retained,2017-07-31T00:00:00,Series E+,Bay Area,Amritansh Raghav,Ali Behnam,Retained
DoorDash,DoorDash - VP Engineering,Engineering,VP,2017,Placement,stage_at_placement=Series C; geo=Bay Area; candidate=Jeremy Rishel; owner=Ali Behnam; service=Retained,2017-07-31T00:00:00,Series C,Bay Area,Jeremy Rishel,Ali Behnam,Retained
DoorDash,DoorDash - VP Engineering,Engineering,VP,2017,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Ryan Sokol; owner=Ali Behnam; service=Retained,2017-07-31T00:00:00,Series E+,Bay Area,Ryan Sokol,Ali Behnam,Retained
DoorDash,DoorDash - VP Product,Product Management,VP,2017,Placement,stage_at_placement=Series C; geo=Bay Area; candidate=Rajat Shroff; owner=Austin Brizendine; service=Retained,2017-10-23T00:00:00,Series C,Bay Area,Rajat Shroff,Austin Brizendine,Retained
DoorDash,"DoorDash - Dir Engineering, Merchant",Engineering,Director,2018,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Shelton Mar; owner=Sandy Ma; service=Retained,2018-10-31T00:00:00,Series E+,Bay Area,Shelton Mar,Sandy Ma,Retained
DoorDash,DoorDash - Sr. Manager Engineering,Engineering,IC,2018,Placement,stage_at_placement=Series D; geo=Bay Area; candidate=Rohini Harendra; owner=Sandy Ma; service=Bluebird,2018-11-10T00:00:00,Series D,Bay Area,Rohini Harendra,Sandy Ma,Bluebird
DoorDash,DoorDash - Head of UX Research,Design/UX,Head,2019,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Radhika Bhalla; owner=Christine Williams; service=Retained,2019-11-04T00:00:00,Series E+,Bay Area,Radhika Bhalla,Christine Williams,Retained
DoorDash,"DoorDash - Director of Analytics, New Categories",Data/ML/AI,Director,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=David Feng; owner=Gino Morell; service=Retained,2021-07-07T00:00:00,Public,Bay Area,David Feng,Gino Morell,Retained
DoorDash,"DoorDash - Director of Analytics, Marketing",Data/ML/AI,Director,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Athena Dai; owner=Gino Morell; service=Retained,2021-07-09T00:00:00,Public,Bay Area,Athena Dai,Gino Morell,Retained
DoorDash,DoorDash - VP Engineering,Engineering,VP,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Liangxiao Zhu; owner=Sandy Ma; service=Retained,2021-11-23T00:00:00,Public,Bay Area,Liangxiao Zhu,Sandy Ma,Retained
DoorDash,"DoorDash - VP, Chief Information Security Officer",Information Security,CXO,2025,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Suha Can; owner=Sean Cleary; service=Retained,2025-01-24T00:00:00,Public,Bay Area,Suha Can,Sean Cleary,Retained
Dropbox,Dropbox - VP Infrastructure,Engineering,VP,2015,Placement,stage_at_placement=Series C; geo=Bay Area; candidate=Akhil Gupta; owner=Sam Wholley; service=Retained,2015-07-13T00:00:00,Series C,Bay Area,Akhil Gupta,Sam Wholley,Retained
Dropbox,Dropbox - VP of Design,Design/UX,VP,2017,Placement,stage_at_placement=Series D; geo=Bay Area; candidate=Nicholas Jitkoff; owner=Dirk Cleveland; service=Retained,2017-01-20T00:00:00,Series D,Bay Area,Nicholas Jitkoff,Dirk Cleveland,Retained
Dropbox,Dropbox - SVP Engineering,Engineering,VP,2017,Placement,stage_at_placement=Series D; geo=Bay Area; candidate=Quentin Clark; owner=Ali Behnam; service=Retained,2017-07-27T00:00:00,Series D,Bay Area,Quentin Clark,Ali Behnam,Retained
Dropbox,Dropbox - VP Engineering,Engineering,VP,2017,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Tony Lee; owner=Dirk Cleveland; service=Retained,2017-09-01T00:00:00,Public,Bay Area,Tony Lee,Dirk Cleveland,Retained
Dropbox,Dropbox - VP Product,Product Management,VP,2018,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Adam Nash; owner=Austin Brizendine; service=Retained,2018-07-23T00:00:00,Public,Bay Area,Adam Nash,Austin Brizendine,Retained
Dropbox,"Dropbox - Director of Engineering, NYC",Engineering,Director,2019,Placement,stage_at_placement=Public; geo=New York; candidate=Kellan Elliott-McCrea; owner=Jodi Jefferson; service=Retained,2019-07-15T00:00:00,Public,New York,Kellan Elliott-McCrea,Jodi Jefferson,Retained
eBay,eBay - VP Design,Design/UX,VP,2018,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Brian Kralyevich; owner=Dirk Cleveland; service=Retained,2018-11-22T00:00:00,Public,Bay Area,Brian Kralyevich,Dirk Cleveland,Retained
eBay,eBay - Director of Product (Chief of Staff),Product Management,Director,2020,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Julie Appel; owner=Chris Rice; service=Bluebird,2020-11-18T00:00:00,Public,Bay Area,Julie Appel,Chris Rice,Bluebird
eBay,"eBay - Head of Product & Engineering, Motors",Engineering,Head,2020,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Paul Stahacopoulos; owner=Chris Rice; service=Retained,2020-12-04T00:00:00,Public,Bay Area,Paul Stahacopoulos,Chris Rice,Retained
eBay,eBay - Distinguished MTS Architect,Engineering,Architect,2022,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Ben Vesco; owner=Michael Tumasian; service=Retained,2022-09-26T00:00:00,Public,Bay Area,Ben Vesco,Michael Tumasian,Retained
Elastic,ElasticSearch - VP Engineering,Engineering,VP,2013,Placement,stage_at_placement=Series C; geo=Bay Area; candidate=Kevin Kluge; owner=Ali Behnam; service=Retained,2013-05-30T00:00:00,Series C,Bay Area,Kevin Kluge,Ali Behnam,Retained
Elastic,Elasticsearch - VP Product,Product Management,VP,2014,Placement,stage_at_placement=Series C; geo=Bay Area; candidate=Gaurav Gupta; owner=Dirk Cleveland; service=Retained,2014-03-31T00:00:00,Series C,Bay Area,Gaurav Gupta,Dirk Cleveland,Retained
Elastic,Elastic - Tech Lead/Chief Architect,Engineering,Architect,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Alexandros Batsakis; owner=Michael Tumasian; service=Retained,2021-08-22T00:00:00,Public,Bay Area,Alexandros Batsakis,Michael Tumasian,Retained
Elastic,Elastic - VP of Product Management,Product Management,VP,2022,Placement,stage_at_placement=Public; candidate=Alvin Richards; owner=Bobby Gormsen; service=Retained,2022-03-16T00:00:00,Public,,Alvin Richards,Bobby Gormsen,Retained
Elastic,Elastic - Distinguished Engineer II,Engineering,IC,2024,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Dinesh Shahane; owner=Alesandra Pacheco; service=Retained,2024-07-17T00:00:00,Public,Bay Area,Dinesh Shahane,Alesandra Pacheco,Retained
Ellucian,Ellucian - VP Product,Product Management,VP,2015,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Steve Chazin; owner=Kevin Buckby; service=Retained,2015-10-05T00:00:00,Series E+,Bay Area,Steve Chazin,Kevin Buckby,Retained
Ellucian,Ellucian - VP Product Management,Product Management,VP,2022,Placement,stage_at_placement=PE-Backed; geo=DC Metro; candidate=Becky Dias; owner=Matt Stravitz; service=Retained,2022-02-02T00:00:00,PE-Backed,DC Metro,Becky Dias,Matt Stravitz,Retained
Ellucian,Ellucian - CPO (as Chief Strategy and Development Officer),Product Management,CXO,2022,Placement,stage_at_placement=PE-Backed; geo=DC Metro; candidate=Jeff Dinski; owner=Eric Larson; service=Retained,2022-06-20T00:00:00,PE-Backed,DC Metro,Jeff Dinski,Eric Larson,Retained
Ellucian,Ellucian - SVP of Product,Product Management,VP,2023,Placement,stage_at_placement=PE-Backed; geo=Other East Coast; candidate=Justin Anovick; owner=Matt Stravitz; service=Retained,2023-11-29T00:00:00,PE-Backed,Other East Coast,Justin Anovick,Matt Stravitz,Retained
Eurowag,Eurowag - VP Product,Product Management,VP,2025,Placement,stage_at_placement=Public; geo=Europe; candidate=Adrian Pica; owner=Chloe Arumainayagam; service=Retained,2025-10-20T00:00:00,Public,Europe,Adrian Pica,Chloe Arumainayagam,Retained
Eurowag,Eurowag - SVP Product,Product Management,VP,2026,Placement,stage_at_placement=Public; geo=Europe; candidate=Rajesh Bysani; owner=Denis Foynes; service=Retained,2026-02-05T00:00:00,Public,Europe,Rajesh Bysani,Denis Foynes,Retained
Eurowag,Eurowag - SVP AI & Data,Data/ML/AI,VP,2026,Placement,stage_at_placement=Public; geo=Europe; candidate=Thor Deacon; owner=Denis Foynes; service=Retained,2026-03-02T00:00:00,Public,Europe,Thor Deacon,Denis Foynes,Retained
Eurowag,Eurowag - SVP Engineering,Engineering,VP,2026,Placement,stage_at_placement=Public; geo=Europe; candidate=Marta Montoliu; owner=Denis Foynes; service=Retained,2026-05-05T00:00:00,Public,Europe,Marta Montoliu,Denis Foynes,Retained
Eurowag,"Eurowag - VP Engineering, Toll (Bluebird)",Engineering,VP,2026,Placement,stage_at_placement=Public; geo=Europe; candidate=Viktor Bezdek; owner=Denis Foynes; service=Bluebird,2026-06-25T00:00:00,Public,Europe,Viktor Bezdek,Denis Foynes,Bluebird
Fastly,Fastly - SVP Engineering,Engineering,VP,2019,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Nick Rockwell; owner=Eric Larson; service=Retained,2019-11-27T00:00:00,Public,Bay Area,Nick Rockwell,Eric Larson,Retained
Fastly,Fastly - Chief Product Officer,Product Management,CXO,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Lakshmi Sharma; owner=James Miller; service=Retained,2021-10-28T00:00:00,Public,Bay Area,Lakshmi Sharma,James Miller,Retained
Fastly,"Fastly - VP Product, Compute@Edge",Product Management,VP,2022,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Monica Sharma; owner=John Termotto; service=Retained,2022-03-15T00:00:00,Public,Bay Area,Monica Sharma,John Termotto,Retained
Fastly,"Fastly - VP Product, Platform",Product Management,VP,2022,Placement,stage_at_placement=Public; geo=Bay Area; candidate=John Wang; owner=Todd Goldwater; service=Retained,2022-05-10T00:00:00,Public,Bay Area,John Wang,Todd Goldwater,Retained
Five Below,Five Below - VP of Engineering,Engineering,VP,2022,Placement,stage_at_placement=Public; candidate=Paul Johnson; owner=Dante Carpinito; service=Retained,2022-12-08T00:00:00,Public,,Paul Johnson,Dante Carpinito,Retained
Five Below,Five Below - EVP & CIO,Information Technology,CXO,2022,Placement,stage_at_placement=Public; geo=Philadelphia Metro; candidate=Amit Jhunjhunwala; owner=Dante Carpinito; service=Retained,2022-12-26T00:00:00,Public,Philadelphia Metro,Amit Jhunjhunwala,Dante Carpinito,Retained
Five Below,Five Below - VP of Product,Product Management,VP,2023,Placement,stage_at_placement=Public; geo=Philadelphia Metro; candidate=Josh Curtis; owner=Dante Carpinito; service=Retained,2023-04-18T00:00:00,Public,Philadelphia Metro,Josh Curtis,Dante Carpinito,Retained
